Event                        , Player
Division 1 Singles           , Tuan-Aik Yeo 
Division 2 Singles           , Guilherme Reid
Division 3 Singles           , Martin Lam
Division 4 Singles           , Havin Shengali
Division 5 Singles           , Alex Huang
Junior Singles               , Matthew Zhong
Division 1 Doubles           , Xuqi Lin & Tuan-Aik Yeo
Division 2 & 3 Doubles       , Clarence Cheng & Yvonne Liu
Division 4 Doubles           , Nicolas Chee & Jerry Chee
Division 5 & Junior Doubles  , Alex Huang & Cynthia Huang
